,energy_usage,carbon_intensity,battery_level,decision,emission_baseline,emission_w_battery,max_em_delta,emission_delta,emission_baseline_sum,reward
0,969,324,[2500.],Charged,[313.956],[1123.956],[0],[-810.],[329073.2],-0.01
1,1583,322,[0],Discharged,[509.726],0,[0],[-300.274],,-0.01
2,818,315,[2500.],Charged,[257.67],[1045.17],[0],[-1087.774],,-0.01
3,1201,316,[5000.],Charged,[379.516],[1169.516],[0],[-1877.774],,-0.01
4,1369,319,[7500.],Charged,[436.711],[1234.211],[0],[-2675.274],,-0.01
5,908,323,[10000],Charged,[293.284],[1100.784],[0],[-3482.774],,-0.01
6,1595,276,[10000],Illegal action,[440.22],[440.22],[0],[-3482.774],,-0.01
7,1566,249,[10000],Illegal action,[389.934],[389.934],[0],[-3482.774],,-0.01
8,1230,227,[10000],Illegal action,[279.21],[279.21],[0],[-3482.774],,-0.01
9,2093,229,[10000],Illegal action,[479.297],[479.297],[0],[-3482.774],,-0.01
10,1483,224,[10000],Illegal action,[332.192],[332.192],[0],[-3482.774],,-0.01
11,1524,216,[10000],Nothing,[329.184],[329.184],[0],[-3482.774],,-0.1
12,1317,214,[10000],Illegal action,[281.838],[281.838],[0],[-3482.774],,-0.01
13,1493,213,[10000],Illegal action,[318.009],[318.009],[0],[-3482.774],,-0.01
14,1586,219,[10000],Illegal action,[347.334],[347.334],[0],[-3482.774],,-0.01
15,2707,227,[10000],Nothing,[614.489],[614.489],[0],[-3482.774],,-0.1
16,548,244,[10000],Illegal action,[133.712],[133.712],[0],[-3482.774],,-0.01
17,1412,277,[10000],Illegal action,[391.124],[391.124],[0],[-3482.774],,-0.01
18,1631,335,[10000],Illegal action,[546.385],[546.385],[0],[-3482.774],,-0.01
19,1792,334,[10000],Illegal action,[598.528],[598.528],[0],[-3482.774],,-0.01
20,1851,327,[10000],Illegal action,[605.277],[605.277],[0],[-3482.774],,-0.01
21,503,317,[9497],Discharged,[159.451],0,[0],[-3323.323],,-0.01
22,1057,312,[10000],Charged,[329.784],[486.72],[0],[-3480.259],,-0.01
23,1013,313,[10000],Illegal action,[317.069],[317.069],[0],[-3480.259],,-0.01
24,947,317,[10000],Illegal action,[300.199],[300.199],[0],[-3480.259],,-0.01
25,1322,321,[10000],Illegal action,[424.362],[424.362],[0],[-3480.259],,-0.01
26,797,323,[10000],Illegal action,[257.431],[257.431],[0],[-3480.259],,-0.01
27,1323,345,[10000],Illegal action,[456.435],[456.435],[0],[-3480.259],,-0.01
28,789,352,[10000],Illegal action,[277.728],[277.728],[0],[-3480.259],,-0.01
29,1120,353,[10000],Illegal action,[395.36],[395.36],[0],[-3480.259],,-0.01
30,1945,305,[10000],Nothing,[593.225],[593.225],[0],[-3480.259],,-0.1
31,1310,272,[10000],Illegal action,[356.32],[356.32],[0],[-3480.259],,-0.01
32,4013,250,[10000],Illegal action,[1003.25],[1003.25],[0],[-3480.259],,-0.01
33,995,236,[10000],Illegal action,[234.82],[234.82],[0],[-3480.259],,-0.01
34,1239,233,[10000],Illegal action,[288.687],[288.687],[0],[-3480.259],,-0.01
35,4720,233,[10000],Illegal action,[1099.76],[1099.76],[0],[-3480.259],,-0.01
36,560,229,[10000],Illegal action,[128.24],[128.24],[0],[-3480.259],,-0.01
